Symptom,Description,English_Symptoms
Agnimandyaudararoga,Digestive weakness and abdominal disorders.,"Indigestion,Abdominal Discomfort,Bloating,Flatulence,Fatigue"
Bhagandara,Fistula-in-ano.,"Pain in the Anal Region,Swelling or Lump,Pus Discharge,Itching,Bleeding"
Smritiandbuddhivardhaka,Enhancing memory and intellect.,"Memory Impairment,Cognitive Decline,Difficulty Concentrating,Forgetfulness"
Raktatisara,Blood diarrhea.,"Bloody Stools,Diarrhea,Abdominal Pain,Anemia,Dehydration"
Krimiroga,Worm infestations.,"Abdominal Pain,Diarrhea,Constipation,Nausea and Vomiting,Weight Loss"
Hritshula,Chest pain.,"Chest Pain,Radiation of Pain,Breathlessness,Palpitations,Sweating"
Vriddhiroga,Aging-related diseases.,"Pain or Discomfort,Swelling,Change in Skin Color,Restricted Movement"
Sandhigatvata,Joint disorders due to Vata dosha.,"Joint Pain,Stiffness,Cracking or Popping Sounds,Reduced Range of Motion,Tingling or Numbness"
Sutikavata,Postpartum Vata disorders.,"Body Aches,Fatigue,Trembling or Shivering,Dryness,Constipation"
Katigraha,Lumbago.,"Stiffness,Reduced Flexibility,Muscle Weakness,Difficulty Standing or Sitting for Prolonged Periods"
Visuchika,Dysentery.,"Watery Diarrhea,Vomiting,Dehydration,Rapid Heart Rate,Muscle Cramps"
Mutrashmari,Kidney stones.,"Painful Urination,Frequent Urination,Hematuria,Straining to Urinate"
Murchha,Syncope.,"Sudden Loss of Consciousness,Pale or Ashen Skin Tone,Cold Sweating,Shallow Breathing,Low Blood Pressure"
Rasayana,Rejuvenation.,"Enhanced Immunity,Increased Vitality,Improved Memory and Cognitive Function,Detoxification"
Hriddaurbalya,Heart weakness.,"Fatigue,Breathlessness,Palpitations,Chest Discomfort"
Paktishula,Colicky pain due to digestion.,"Pain in the Upper Abdomen,Bloating or Fullness,Discomfort during Eating,Indigestion"
Bahushosha,Severe emaciation.,"Significant Weight Loss,Muscle Atrophy,Fatigue and Weakness,Prominent Bones"
Mutrasthila,Urinary retention.,"Painful Urination,Foul-Smelling Urine,Frequent Urination,Fever and Chills"
Shitapitta,Urticaria.,"Itching,Sensitivity to Touch,Burning Sensation,Swelling"
Aptantrak,Snakebite.,"pain, swelling, puncture marks, nausea, vomiting, weakness, dizziness,difficulty breathing, changes in heart rate and blood pressure, blurred vision, difficulty speaking, tingling or numbness,paralysis"
Arsha,Hemorrhoids.,"Pain and Discomfort,Bleeding,Swelling,Burning Sensation,Itching"
Jvaratisara,Febrile dysentery.,"Fever,Loose Stools or Diarrhea,Abdominal Discomfort,Dehydration"
Ardita,Facial paralysis.,"Facial Drooping,Inability to Close the Eye,Speech Difficulties,Reduced Sense of Taste"
Kanduvisphota,Itching and eruptions.,"Itching,Burning Sensation,Eruption of Vesicles,Redness"
Pinasa,Sinusitis.,"Nasal Congestion,Headache,Nasal Discharge,Reduced Sense of Smell"
Galaganda,Goiter.,"Swelling in the Neck,Difficulty Swallowing,Breathing Difficulties,Throat Discomfort,Coughing"
Asrigdara,Menorrhagia.,"Heavy Menstrual Flow,Prolonged Menstrual Periods,Frequent Menstrual Cycles,Intermenstrual Bleeding"
Pittajanetraroga,Urinary disorders due to Pitta dosha.,"Tearing,Burning Sensation,Redness,Blurred Vision,Headache"
Mutraroga,Urinary disorders.,"Painful Urination,Frequent Urination,Difficulty Initiating Urination,Burning Sensation"
Kshaya,Debility.,"Weight Loss,Fatigue,Reduced Immunity,Pale or Dull Skin,Hair and Nail Changes"
